,names,stars,memory,camara_info,display,battery,processor,Price
0,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 5MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,6000 mAh Lithium Ion Battery,Exynos 850 Processor,9699.0
1,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 5MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,6000 mAh Lithium Ion Battery,Exynos 850 Processor,9699.0
5,"Infinix HOT 20 Play (Fantasy Purple, 64 GB)",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13Mp + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,6000 mAh Li-ion Polymer Battery,MediaTek G37 Processor,8999.0
7,"Infinix HOT 20 Play (Racing Black, 64 GB)",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13Mp + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,6000 mAh Li-ion Polymer Battery,MediaTek G37 Processor,8199.0
8,"Infinix HOT 20 Play (Luna Blue, 64 GB)",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13Mp + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,6000 mAh Li-ion Polymer Battery,MediaTek G37 Processor,8199.0
9,"Infinix HOT 20 Play (Aurora Green, 64 GB)",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13Mp + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,6000 mAh Li-ion Polymer Battery,MediaTek G37 Processor,8199.0
20,"Infinix Smart 6 HD (Aqua Sky, 32 GB)",4.4,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Rear Camera | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio A22 Processor,5599.0
21,"Infinix Smart 6 HD (Force Black, 32 GB)",4.4,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Rear Camera | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio A22 Processor,5599.0
28,"Infinix Smart 6 HD (Origin Blue, 32 GB)",4.4,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Rear Camera | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio A22 Processor,5599.0
59,"realme C33 (Night Sea, 32 GB)",4.4,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,50MP + 0.3MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,Unisoc T612 Processor,8999.0
60,"realme C33 (Sandy Gold, 32 GB)",4.4,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,50MP + 0.3MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,Unisoc T612 Processor,8999.0
129,"POCO C50 (Country Green, 32 GB)",4.4,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Dual Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",6249.0
132,"realme C31 (Dark Green, 64 GB)",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP + 2MP + 0.3MP | 5MP Front Camera,16.56 cm (6.52 inch) HD Display,5000 mAh Battery,Unisoc T612 Processor,9999.0
144,"realme C31 (Light Silver, 64 GB)",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP + 2MP + 0.3MP | 5MP Front Camera,16.56 cm (6.52 inch) HD Display,5000 mAh Battery,Unisoc T612 Processor,9999.0
172,"POCO C50 (Royal Blue, 32 GB)",4.4,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Dual Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor",6249.0
236,"realme C11 2021 (Cool Blue, 32 GB)",4.4,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Octa-core Processor,7499.0
237,"realme C11 2021 (Cool Grey, 32 GB)",4.4,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Octa-core Processor,7499.0
267,"realme C21 (Cross Blue, 32 GB)",4.4,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,MediaTek Helio G35 Processor,9499.0
481,"realme C21 (Cross Black, 32 GB)",4.4,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,MediaTek Helio G35 Processor,9499.0
515,Kechaoda K33,4.4,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,3.56 cm (1.4 inch) Display,800 mAh Battery,1 Year Warranty,1199.0
574,"realme C20 (Cool Grey, 32 GB)",4.4,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,MediaTek Helio G35 Processor,7499.0
