Title,textweb__textsc1cyx77801
"Tecno POVA3 64 GB, 4 GB RAM, Eco Black, Mobile Phone with 7000 mAh Mega Battery","8,999.00"
"Tecno POVA3 64 GB, 4 GB RAM, Electric Blue, Mobile Phone with 7000 mAh Mega Battery","9,799.00"
"Tecno POP 5 LTE 32 GB RAM, 2 GB RAM, Turquoise Cyan, Mobile Phone","6,899.00"
"Tecno POVA3 64 GB, 4 GB RAM, Tech Silver, Mobile Phone with 7000 mAh Mega Battery","8,999.00"
"Tecno Spark 9 128GB, 6GB RAM, Sky Mirror, Mobile Phone","9,999.00"
"Tecno Spark 9 64GB, 4GB RAM, Sky Mirror, Mobile Phone","8,999.00"
"Tecno Spark 9 64GB, 4GB RAM, Infinity Black, Mobile Phone","8,999.00"
