Title,textweb__textsc1cyx77801
"Vivo Y1s 32 GB, 2 GB RAM, Olive Black, Mobile Phone (JioExclusive offer available)","8,490.00"
"VIVO Y15c 32 GB, 3 GB RAM, Mystic Blue, Mobile Phone","9,499.00"
"Vivo Y1s 32 GB, 2 GB RAM, Aurora Blue, Mobile Phone (JioExclusive offer available)","8,490.00"
"Vivo Y16 32 GB, 3 GB RAM, Drizzling Gold, Mobile Phone","9,999.00"
"Vivo Y02 32 GB, 3 GB RAM, Cosmic Grey, Mobile Phone","8,999.00"
"Vivo Y16 64 GB, 3 GB RAM, Drizzling Gold, Mobile Phone","9,999.00"
"Vivo Y16 64 GB, 3 GB RAM, Stellar Black, Mobile Phone","9,999.00"
