,names,stars,memory,camara_info,display,battery,processor,Price
34,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
62,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
90,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
118,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
146,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
174,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
202,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
230,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
242,Micromax X416,4.0,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,1000 mAh Battery,One Year manufacturer Warranty,961.0
256,"Tecno Spark 9 (Sky Mirror, 128 GB)",4.0,6 GB RAM | 128 GB ROM | Expandable Upto 128 GB,13MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,MediaTek Helio G37 Octa Core Processor,9695.0
258,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
259,Micromax X413,4.0,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,800 mAh Battery,One Year manufacturer Warranty,945.0
284,"MOTOROLA e13 (Cosmic Black, 64 GB)",4.0,2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor,6999.0
314,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
339,itel MagicX Pro,4.0,64 MB RAM | 128 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,2500 mAh Battery,2 years warranty on mobile device & 6 months on accessories.,2599.0
342,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
351,"Infinix Smart 6 Plus (Tranquil Sea Blue, 64 GB)",4.0,3 GB RAM | 64 GB ROM | Expandable Upto 512 GB,8 MP + Depth Lens | 5MP Front Camera,17.32 cm (6.82 inch) HD+ Display,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G25 Processor,8299.0
370,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
378,itel MagicX Pro,4.0,64 MB RAM | 128 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,2500 mAh Battery,2 Years Manufacturer Warranty on Device and 6 Months on Accessories,2599.0
383,Micromax X416,4.0,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,1000 mAh Battery,One Year manufacturer Warranty,980.0
398,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
414,itel Ace 2,4.0,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,0MP Front Camera,4.57 cm (1.8 inch) Quarter QVGA Display,1000 mAh Lithium Ion Battery,Spreadtrum Processor,899.0
426,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
454,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
464,"SAMSUNG Galaxy A03 Core (Black, 32 GB)",4.0,2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Li-ion Battery,Octa Core Processor,6724.0
480,itel it2175,4.0,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.57 cm (1.8 inch) Quarter QVGA Display,1200 mAh Lithium Ion Battery,12 + 1 Month Warranty | 111 Days Replacement Offer (Special Offer),1099.0
