,names,stars,memory,camara_info,display,battery,processor,Price
482,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
483,Micromax X413,4.0,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,800 mAh Battery,One Year manufacturer Warranty,972.0
484,Nokia 125 TA-1253 DS,4.0,4 MB RAM | 4 MB ROM,1020 mAh Lithium-ion Battery,6.1 cm (2.4 inch) Display,MediaTek Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase,2200.0
487,"SAMSUNG Galaxy A03 Core (Mint, 32 GB)",4.0,2 GB RAM | 32 GB ROM,8MP Rear Camera,16.51 cm (6.5 inch) Display,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box,6659.0
510,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
514,GREENBERRI VIRAT,4.0,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
521,Kechaoda K66 The Music House 4,4.0,32 MB RAM | 64 MB ROM | Expandable Upto 32 GB,1.3MP Rear Camera,4.57 cm (1.8 inch) Display,400 mAh Battery,1 Year Brand Service Center Warranty,1199.0
522,Micromax X513+,4.0,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,1750 mAh Battery,One Year manufacturer Warranty,1108.0
538,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
550,KARBONN Jumbo K9,4.0,Expandable Upto 8 GB,1.3MP Rear Camera,6.6 cm (2.6 inch) QVGA Display,1800 mAh Li-Ion Battery,1 Year for Mobile & 6 Months for Accessories,1314.0
566,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
571,Nokia 105 PLUS SS,4.0,4 MB RAM | 4 MB ROM,1000 mAh Battery,4.5 cm (1.77 inch) Display,1 Year Manufacturer Warranty,,1397.0
572,Kechaoda K33,4.0,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,3.56 cm (1.4 inch) Display,800 mAh Battery,1 Year Warranty,1119.0
594,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
600,KARBONN KX3,4.0,31 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,800 mAh Battery,1 Year Brand Warranty,999.0
622,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
636,Motorola a70,4.0,0 MB ROM | Expandable Upto 32 GB,1750 mAh Battery,6.1 cm (2.4 inch) Quarter QVGA Display,2 Year Replacement,,1929.0
650,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
659,Kechaoda K33,4.0,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,3.56 cm (1.4 inch) Display,800 mAh Battery,1 Year Warranty,1124.0
677,"vivo Y01A (Sapphire Blue, 32 GB)",4.0,2 GB RAM | 32 GB ROM,8MP Rear Camera | 5MP Front Camera,16.54 cm (6.51 inch) HD+ Display,5000 mAh Battery,Mediatek Helio P35 Processor,8250.0
678,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
684,Motorola a70,4.0,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1750 mAh Battery,6.1 cm (2.4 inch) Quarter QVGA Display,2 Year Replacement,,1929.0
706,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
715,Nokia 5710 XA DS,4.0,0.046875 GB RAM | 0.125 GB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1450 mAh Lithium Ion Battery,Unisoc UMS9117-N Processor,4999.0
734,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
760,Kechaoda A27,4.0,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,800 mAh Battery,1.68 cm (0.66 inch) Display,1 Year Warranty,,1120.0
761,MarQ by Flipkart M70 Shakti,4.0,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,3000 mAh Li-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1599.0
762,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
765,Nokia 110 TA-1302 DS,4.0,4 MB RAM | 4 MB ROM | Expandable Upto 32 MB,1MP Rear Camera,4.5 cm (1.77 inch) QVGA Display,800 mAh Battery,Brand Warranty of 1 Year Available for Mobile,1697.0
771,"itel A27 (Deep Gray, 32 GB)",4.0,2 GB RAM | 32 GB ROM,2MP Rear Camera,13.84 cm (5.45 inch) Display,4000 mAh Battery,100 Days Replacement within 1 Year Warranty on Mobile Device and 6 months on Accessories,5299.0
772,Kechaoda K33,4.0,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,3.56 cm (1.4 inch) Display,800 mAh Battery,1 Year Warranty,1160.0
787,Nokia 110 DS,4.0,4 MB RAM | 32 MB ROM,1MP Rear Camera,4.5 cm (1.77 inch) Display,800 mAh Battery,1 Year,1720.0
790,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
812,LAVA A7 Star,4.0,24 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera | 0MP Front Camera,6.1 cm (2.4 inch) Quarter QVGA Display,1800 mAh Lithium Ion Battery,1 Year Manufacturer Replacement Guarantee for Phone and 6 Months Replacement for Accessories in the Box,1527.0
818,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
825,itel it5026,4.0,4 MB RAM | 4 MB ROM,2MP Rear Camera,6.1 cm (2.4 inch) Display,1200 mAh Battery,1 Year Manufacturer Warranty on handset and six month of accessories,1305.0
832,"SAMSUNG Galaxy A03 Core (Onyx, 32 GB)",4.0,2 GB RAM | 32 GB ROM,8MP Rear Camera,16.51 cm (6.5 inch) Display,5000 mAh Battery,"12 Months brand Warranty , Domestic Only",6748.0
846,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
869,Micromax X749,4.0,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,1750 mAh Battery,1 Year Product and 6 Month Accessories,1367.0
872,Kechaoda A27,4.0,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,800 mAh Battery,1.68 cm (0.66 inch) Display,1 Year Warranty,,1099.0
874,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
875,Kechaoda A27,4.0,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,800 mAh Battery,1.68 cm (0.66 inch) Display,1 Year Warranty,,1099.0
902,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
908,BlackZone ECO X,4.0,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,3.66 cm (1.44 inch) Display,1000 mAh Battery,Brand Warranty of 1 Year Available for Mobile,1429.0
909,BlackZone ECO X,4.0,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,3.66 cm (1.44 inch) Display,1000 mAh Battery,Brand Warranty of 1 Year Available for Mobile,1449.0
930,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
935,KARBONN K9 max,4.0,64 MB RAM | 64 MB ROM,2MP Rear Camera,6.6 cm (2.6 inch) QVGA Display,2500 mAh Battery,1 Year Manufacturer Warranty,1590.0
958,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
960,Micromax X746,4.0,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,3000 mAh Battery,1 Year Warranty,1450.0
967,Nokia 110 DS,4.0,4 MB RAM | 32 MB ROM,1MP Rear Camera,4.5 cm (1.77 inch) Display,800 mAh Battery,1 YEAR,1666.0
971,LAVA A5,4.0,32 MB RAM | 24 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1000 mAh Li-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,1410.0
986,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
1002,BlackZone S18,4.0,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,3000 mAh Battery,1 Year Manufacturer Warranty for Device,1258.0
1014,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
1022,Micromax X746,4.0,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,3000 mAh Battery,1 Year Warranty,1450.0
1042,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
1044,SAREGAMA Carvaan Mobile Malayalam M11,4.0,32 MB RAM | 2000 MB ROM,1800 mAh Battery,4.57 cm (1.8 inch) Display,One Year domestic warranty against manufacturing defects,,1990.0
1070,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
1080,LAVA Prime X,4.0,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,1.3MP Rear Camera,4.57 cm (1.8 inch) Quarter QVGA Display,800 mAh Battery,2 Year Replacement Warranty & 6 Months Accessories Warranty,1440.0
1093,"Itel Magic2 4G (WiFi, Hotspot Tethering)",4.0,64 MB RAM | 128 MB ROM | Expandable Upto 64 GB,1.3MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1900 mAh Lithium ion Battery,Unisoc T117 Processor,2899.0
1098,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
1099,Nokia 110 TA-1302 DS,4.0,4 MB RAM | 4 MB ROM | Expandable Upto 32 MB,1MP Rear Camera,4.5 cm (1.77 inch) QVGA Display,800 mAh Battery,Brand Warranty of 1 Year Available for Mobile,1699.0
1126,itel IT5626,4.0,8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor,1749.0
1130,GREENBERRI VIRAT,4.0,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
