,names,stars,price_details,memory,camara_info,display,battery,processor
6,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
38,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
66,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
94,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
122,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
128,"MOTOROLA g22 (Cosmic Black, 64 GB)",3.7,"₹9,499
₹13,99932% off",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,Mediatek Helio G37 Processor
150,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
178,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
206,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
234,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
239,Micromax J22,3.7,"₹1,238
₹1,59922% off",32 MB RAM | 32 MB ROM,1000 mAh Battery,6.1 cm (2.4 inch) Display,1 Year Manufacturer warranty,
262,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
288,"Infinix Smart 6 (Starry Purple, 64 GB)",3.7,"₹6,999
₹8,99922% off",2 GB RAM | 64 GB ROM | Expandable Upto 512 GB,8 MP + Depth Lens | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Li-ion Polymer Battery,Mediatek Helio A22 Processor
318,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
346,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
374,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
402,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
430,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
458,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
479,Micromax J22,3.7,"₹1,245
₹1,59922% off",32 MB RAM | 32 MB ROM,1000 mAh Battery,6.1 cm (2.4 inch) Display,1 Year Manufacturer warranty,
486,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
513,Kechaoda K33,3.7,"₹1,105",32 MB RAM | 32 MB ROM,0.3MP Rear Camera,3.56 cm (1.4 inch) Display,800 mAh Battery,1 Year Warranty
542,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
560,Energizer M1,3.7,"₹749
₹1,09931% off",32 MB RAM | 32 MB ROM,0.08MP Rear Camera,4.5 cm (1.77 inch) Display,600 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase
570,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
598,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
626,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
654,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
682,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
703,itel MagicX Play,3.7,"₹2,149",48 MB RAM | 128 MB ROM,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,1900 mAh Battery,12+1 Month Warranty | 111 Days Replacement Offer (Special Offer)
710,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
738,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
766,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
794,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
822,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
850,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
878,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
906,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
934,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
942,"APPLE iPhone 13 (Starlight, 256 GB)",3.7,"₹72,999
₹79,9008% off",256 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,A15 Bionic Chip Processor,Brand Warranty for 1 Year
962,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
990,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
1018,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
1046,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
1074,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
1102,GREENBERRI VIRAT,3.7,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
1129,"IQOO Neo 6 5G (Dark Nova, 256 GB)",3.7,"₹33,899
₹39,99915% off",12 GB RAM | 256 GB ROM,64MP Rear Camera,16.81 cm (6.62 inch) Display,4700 mAh Battery,1 Year
