,names,stars,price_details,memory,camara_info,display,battery,processor
320,"realme 9i 5G (Metallica Gold, 128 GB)",3.8,"₹16,999
₹19,99915% off",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Ion Battery,Mediatek Dimensity 810 5G Processor
520,"SAMSUNG Galaxy A23 5G (Orange, 128 GB)",3.8,"₹22,999
₹28,99020% off",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 5MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 695 (SM6375) Processor
581,"realme 9 Pro 5G (Midnight Black, 128 GB)",3.8,"₹18,999
₹21,99913% off",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,64MP + 8MP + 2MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Li-ion Battery,Qualcomm Snapdragon 695 Processor
591,"SAMSUNG Galaxy A23 5G (Silver, 128 GB)",3.8,"₹24,999
₹30,99019% off",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 5MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 695 (SM6375) Processor
644,ANGAGE ELITE,3.8,₹879,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,2500 mAh Battery,1 Month Manufacturing Warranty
665,Micromax J2,3.8,"₹968
₹1,54937% off",32 MB RAM | 32 MB ROM,800 mAh Battery,4.5 cm (1.77 inch) Display,One Year Manufacture Warranty,
708,"Nokia C21 Plus (Warm Grey, 64 GB)",3.8,"₹10,499
₹12,99919% off",4 GB RAM | 64 GB ROM,13MP + 2MP | 5MP Front Camera,16.69 cm (6.57 inch) HD+ Display,5050 mAh Lithium Polymer Battery,Octa Core Processor
712,Micromax S115,3.8,"₹967
₹1,59939% off",32 MB RAM | 32 MB ROM,1000 mAh Battery,4.5 cm (1.77 inch) Display,1 Year Manufacturer Warranty,
713,Micromax S115,3.8,"₹989
₹990",32 MB RAM | 32 MB ROM,800 mAh Battery,4.5 cm (1.77 inch) Display,1 Year Manufacturer Warranty,
770,Micromax X740,3.8,"₹1,319
₹1,49912% off",128 MB RAM | 32 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,1800 mAh Battery,1 Year Manufacturing Warranty for Mobile and 6 Months Battery Warranty
796,Micromax X809,3.8,"₹1,389
₹1,98930% off",32 MB RAM | 32 MB ROM,1MP Rear Camera,7.11 cm (2.8 inch) Display,1000 mAh Battery,1 Year Warranty
834,"Nokia C01 Plus (Blue, 16 GB)",3.8,"₹5,199
₹6,99925% off",2 GB RAM | 16 GB ROM,5MP Rear Camera | 2MP Front Camera,13.84 cm (5.45 inch) HD+ Display,3000 mAh Li-ion Battery,Unisoc SC9863A Processor
852,Kechaoda K55 Pro,3.8,"₹1,220
₹1,59923% off",32 MB RAM | 64 MB ROM,1.3MP Rear Camera,4.57 cm (1.8 inch) Quarter QVGA Display,400 mAh Battery,1 Year Brand Service Center Warranty
876,Micromax J2,3.8,"₹975
₹1,54937% off",32 MB RAM | 32 MB ROM,800 mAh Battery,4.5 cm (1.77 inch) Display,One Year Manufacture Warranty,
943,GREENBERRI VIRAT,3.8,₹849,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile
945,"LAVA Z2 Max (Stroked Blue, 32 GB)",3.8,"₹7,799
₹8,4497% off",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 8MP Front Camera,17.78 cm (7 inch) HD+ Display,6000 mAh Li-Polymer Battery,MediaTek Helio Quad Core Processor
965,PHILIPS Xenium E209,3.8,"₹1,295
₹2,99456% off",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,0.08MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1000 mAh Li-ion Battery,1 Year Warranty on Mobile and 6 Months on Battery
969,KARBONN KU3i,3.8,"₹989
₹1,19016% off",52 MB RAM | 32 MB ROM | Expandable Upto 16 GB,0MP | 0MP Front Camera,4.57 cm (1.8 inch) FWVGA Display,1000 mAh Battery,NA Processor
