,names,stars,price_details,memory,camara_info,display,battery,processor
0,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4.4,"₹9,699
₹14,99935% off",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 5MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,6000 mAh Lithium Ion Battery,Exynos 850 Processor
1,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",4.4,"₹9,699
₹14,99935% off",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 5MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,6000 mAh Lithium Ion Battery,Exynos 850 Processor
3,"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)",4.4,"₹10,699
₹16,99937% off",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 5MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,6000 mAh Lithium Ion Battery,Exynos 850 Processor
4,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",4.4,"₹10,699
₹16,99937% off",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 5MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,6000 mAh Lithium Ion Battery,Exynos 850 Processor
5,"Infinix HOT 20 Play (Fantasy Purple, 64 GB)",4.4,"₹8,999
₹11,99925% off",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13Mp + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,6000 mAh Li-ion Polymer Battery,MediaTek G37 Processor
7,"Infinix HOT 20 Play (Racing Black, 64 GB)",4.4,"₹8,199
₹11,99931% off",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13Mp + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,6000 mAh Li-ion Polymer Battery,MediaTek G37 Processor
8,"Infinix HOT 20 Play (Luna Blue, 64 GB)",4.4,"₹8,199
₹11,99931% off",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13Mp + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,6000 mAh Li-ion Polymer Battery,MediaTek G37 Processor
9,"Infinix HOT 20 Play (Aurora Green, 64 GB)",4.4,"₹8,199
₹11,99931% off",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13Mp + AI Lens | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,6000 mAh Li-ion Polymer Battery,MediaTek G37 Processor
20,"Infinix Smart 6 HD (Aqua Sky, 32 GB)",4.4,"₹5,599
₹8,99937% off",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Rear Camera | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio A22 Processor
21,"Infinix Smart 6 HD (Force Black, 32 GB)",4.4,"₹5,599
₹8,99937% off",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Rear Camera | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio A22 Processor
