,names,stars,memory,camara_info,display,battery,processor,Price
798,"Tecno Spark 8C (Diamond Grey, 64 GB)",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor,8888.0
858,"Tecno Pop 5 Pro (Ice Blue, 32 GB)",4.2,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,6000 mAh Battery,Helio A22 Processor,7099.0
880,LAVA A1,4.2,24 MB RAM | 24 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.5 cm (1.77 inch) Quarter QVGA Display,800 mAh Battery,1 Year Replacement Guarantee for Phone and 6 Months Replacement Guarantee for Accessories in Box (T&C Apply),1189.0
888,"Tecno Spark 8 (Turquoise Cyan, 64 GB)",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16MP Rear Camera | 8MP Front Camera,16.66 cm (6.56 inch) HD+ Display,5000 mAh Battery,MediaTek Helio G25 Processor,8899.0
925,itel Ace 2N,4.2,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,0MP Front Camera,4.57 cm (1.8 inch) Quarter QVGA Display,1000 mAh Lithium Ion Battery,Mediatek MT6261D Processor,889.0
933,itel Power 100 New,4.2,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,2500 mAh Lithium-ion Battery,SC6531E Processor,1335.0
939,KARBONN K9 max,4.2,64 MB RAM | 64 MB ROM,2MP Rear Camera,6.6 cm (2.6 inch) QVGA Display,2500 mAh Battery,1 Year Manufacturer Warranty,1590.0
993,"Tecno Spark 8C (Turquoise Cyan, 64 GB)",4.2,3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor,8140.0
994,"Tecno Spark 8C (Iris Purple, 64 GB)",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor,8799.0
998,"Tecno Spark 8C (Magnet Black, 64 GB)",4.2,3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor,8199.0
1019,itel Ace 2N,4.2,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,0MP Front Camera,4.57 cm (1.8 inch) Quarter QVGA Display,1000 mAh Lithium Ion Battery,Mediatek MT6261D Processor,889.0
1052,"Tecno Spark 8T (Atlantic Blue, 64 GB)",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,50MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,MediaTek Helio G35 Processor,9490.0
1075,SAMSUNG Guru Music 2,4.2,0.53 RAM | NA KB ROM | Expandable Upto 16 GB,0MP Front Camera,5.08 cm (2 inch) QVGA Display,800 mAh Battery,NA 0 Single Core 208MHz Processor,1995.0
1092,KARBONN K9 PUNCH,4.2,52 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0MP | 0.3MP Front Camera,6.1 cm (2.4 inch) FWVGA+ Display,2500 mAh Battery,NA Processor,1485.0
1108,"Tecno Spark 8C (Diamond Grey, 64 GB)",4.2,3 GB RAM | 64 GB ROM,13MP Rear Camera,16.76 cm (6.6 inch) Display,5000 mAh Battery,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,7899.0
1123,KARBONN K9 Punch,4.2,52 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0MP | 0.3MP Front Camera,6.1 cm (2.4 inch) FWVGA Display,2500 mAh Battery,NA Processor,1485.0
