,names,stars,memory,camara_info,display,battery,processor,Price
29,"MOTOROLA g31 (Baby Blue, 64 GB)",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP | 13MP Front Camera,16.26 cm (6.4 Inch) Full HD+ Display,5000 mAh LiPo Battery,Mediatek Helio G85 Processor,9499.0
36,Nokia 105 SS,4.2,32 MB RAM | 32 MB ROM,0MP Front Camera,4.5 cm (1.77 inch) QVGA Display,800 mAh Lithium Ion Battery,SC6531E Processor,1299.0
41,"MOTOROLA g31 (Meteorite Grey, 64 GB)",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP | 13MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,5000 mAh LiPo Battery,Mediatek Helio G85 Processor,9499.0
72,"MOTOROLA e40 (Carbon Gray, 64 GB)",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,48MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,UNISOC T700 Processor,8999.0
187,SAMSUNG Guru Music 2,4.2,NA ROM,800 mAh Battery,5.08 cm (2 inch) QVGA Display,1 Year Manufacturer Warranty,,2074.0
214,LAVA GEM,4.2,0 MB ROM | Expandable Upto 32 GB,1.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,1750 mAh Battery,NA Processor,1679.0
217,LAVA Gem,4.2,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,1.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,1750 mAh Battery,1 year manufacturer Replacement for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,1679.0
268,LAVA A3 Power,4.2,0 GB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.5 cm (1.77 inch) Quarter QVGA Display,2575 mAh Li-ion Battery,1 Year Manufacturer Replacement Guarantee for Phone and 6 Months Replacement for Accessories In the Box,1329.0
270,LAVA A3,4.2,4 MB RAM | 3 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,1750 mAh Battery,1 year manufacturer Replacement for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,1249.0
321,Micromax S115,4.2,32 MB RAM | 32 MB ROM,800 mAh Battery,4.5 cm (1.77 inch) Display,1 Year Manufacturer Warranty,,928.0
340,LAVA A3,4.2,0 GB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,1750 mAh Battery,1 year manufacturer Replacement for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,1315.0
343,Motorola a10,4.2,0 MB ROM | Expandable Upto 32 GB,1750 mAh Battery,4.57 cm (1.8 inch) Quarter QVGA Display,2 Year Replacement,,1449.0
349,"MOTOROLA e13 (Aurora Green, 64 GB)",4.2,2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor,6999.0
367,Nokia TA-1010/105,4.2,4 MB RAM | 4 MB ROM,800 mAh Lithium Ion Battery,4.5 cm (1.77 inch) Quarter QVGA Display,Brand Warranty of 1 Year Available for Mobile,,1359.0
371,"Infinix Hot 12 Pro (Racing Black, 64 GB)",4.2,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,50 MP + Depth Lens | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Lithium-ion Polymer Battery,Unisoc T616 Processor,9799.0
381,"Infinix Hot 12 Pro (Halo White, 64 GB)",4.2,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,50 MP + Depth Lens | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Lithium-ion Polymer Battery,Unisoc T616 Processor,9799.0
436,"MOTOROLA e40 (Pink Clay, 64 GB)",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,48MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,UNISOC T700 Processor,8999.0
442,"REDMI 10A (Slate grey, 64 GB)",4.2,4 GB RAM | 64 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,5000 mAh Battery,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,8595.0
462,"vivo Y01 (Elegant Black, 32 GB)",4.2,2 GB RAM | 32 GB ROM,8MP Rear Camera | 5MP Front Camera,16.54 cm (6.51 inch) HD+ Display,5000 mAh Lithium Battery,Mediatek Helio P35 Processor,7999.0
492,LAVA A1 2021,4.2,32 MB RAM | 24 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,800 mAh Li-ion Battery,1 year manufacturer replacement guarantee for Phone and 6 months replacement for accessories in the box,1129.0
493,"Tecno Spark 9T (Turquoise Cyan, 64 GB)",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,50MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Battery,MediaTek Helio G35 Processor,8999.0
494,"SAMSUNG Galaxy M04 (Light Green, 64 GB)",4.2,4 GB RAM | 64 GB ROM,13MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,MediaTek Helio P35 Processor,9239.0
507,"Micromax IN 2C (Silver, 32 GB)",4.2,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,5000 mAh Battery,Unisoc T610 Processor,5999.0
517,Nokia 110,4.2,4 MB RAM | 4 MB ROM,0.08MP Rear Camera,4.5 cm (1.77 inch) Quarter QVGA Display,800 mAh Lithium Ion Battery,Unisoc 6531E Processor,1699.0
536,Nokia TA-1174 / TA-1299,4.2,4 MB RAM | 4 MB ROM,800 mAh Battery,4.57 cm (1.8 inch) Display,1 Year Manufacturer Warranty,,1590.0
539,LAVA Flip,4.2,56 MB RAM | 56 MB ROM,0.08MP Rear Camera,6.1 cm (2.4 inch) Display,1200 mAh Battery,1 Year Manufacturer Replacement Guarantee for Phone and 6 Months Replacement for Accessories in the Box,1869.0
567,Nokia 105 SS 2021,4.2,4 MB RAM | 4 MB ROM,800 mAh Lithium Ion Battery,4.5 cm (1.77 inch) Quarter QVGA Display,Brand Warranty of 1 Year Available for Mobile,,1449.0
589,"Redmi 9A Sport (Coral Green, 32 GB)",4.2,3 GB RAM | 32 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,5000 mAh Battery,1 Year Warranty,7364.0
592,itel ACE 2N,4.2,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1000 mAh Battery,4.57 cm (1.8 inch) Display,12 Months Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase,,880.0
655,"itel A49 (Crystal Purple, 32 GB)",4.2,2 GB RAM | 32 GB ROM | Expandable Upto 128 GB,5MP Rear Camera | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,4000 mAh Li-Polymer Battery,Quad Core Processor,5699.0
658,"itel A49 (Sky Cyan, 32 GB)",4.2,2 GB RAM | 32 GB ROM | Expandable Upto 128 GB,5MP Rear Camera | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,4000 mAh Li-Polymer Battery,Quad Core Processor,5699.0
687,"Redmi 9A Sport (Carbon Black, 32 GB)",4.2,3 GB RAM | 32 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,5000 mAh Battery,1 Year Warranty,7323.0
785,"REDMI 9 Activ (Carbon Black, 64 GB)",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP + 2MP | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,5000 mAh Lithium Polymer Battery,Mediatek Helio G35 Processor,9147.0
797,Nokia TA-1304/105 SS,4.2,4 MB RAM | 4 MB ROM,800 mAh Battery,4.5 cm (1.77 inch) Display,1 Year Manufacturer Warranty,,1448.0
