Title,textweb__textsc1cyx77801
"Motorola Moto G42 64GB, 4GB RAM, Atlantic Green, Mobile Phone","9,999.00"
"Motorola E32s 32 GB, 3 GB RAM, Misty Silver, Mobile Phone","8,999.00"
"Motorola E7 Power 64 GB, 4 GB RAM, Oxy Red, Mobile Phone","8,999.00"
"Motorola E7 Power 64 GB, 4 GB RAM, Digital Blue, Mobile Phone","8,999.00"
"Moto g22 64 GB, 4 GB RAM, Cosmic Black, Mobile Phone","9,999.00"
"Moto g22 64 GB, 4 GB RAM, Iceberg Blue, Mobile Phone","9,999.00"
"Motorola E32s 64 GB, 4 GB RAM, Misty Silver, Mobile Phone","9,999.00"
"Moto g22 64 GB, 4 GB RAM, Mint Green, Mobile Phone","9,999.00"
