,names,stars,price_details,memory,camara_info,display,battery,processor
489,"APPLE iPhone 13 (Green, 128 GB)",4.7,"₹63,999
₹69,9008% off",128 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,A15 Bionic Chip Processor,Brand Warranty for 1 Year
617,"APPLE iPhone 13 (Pink, 128 GB)",4.7,"₹62,999
₹69,9009% off",128 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,A15 Bionic Chip Processor,Brand Warranty for 1 Year
662,"APPLE iPhone 14 Pro (Space Black, 128 GB)",4.7,"₹1,22,999
₹1,29,9005% off",128 GB ROM,48MP + 12MP + 12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
692,"APPLE iPhone 14 Plus (Starlight, 256 GB)",4.7,"₹90,999
₹99,9008% off",256 GB ROM,12MP + 12MP | 12MP Front Camera,17.02 cm (6.7 inch) Super Retina XDR Display,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
700,"APPLE iPhone 14 Plus (Starlight, 256 GB)",4.7,"₹90,999
₹99,9008% off",256 GB ROM,12MP + 12MP | 12MP Front Camera,17.02 cm (6.7 inch) Super Retina XDR Display,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
802,"APPLE iPhone 13 (Blue, 256 GB)",4.7,"₹72,999
₹79,9008% off",256 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,A15 Bionic Chip Processor,Brand Warranty for 1 Year
817,"APPLE iPhone 14 ((PRODUCT)RED, 256 GB)",4.7,"₹81,999
₹89,9008% off",256 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
821,"APPLE iPhone 14 Pro (Deep Purple, 128 GB)",4.7,"₹1,22,999
₹1,29,9005% off",128 GB ROM,48MP + 12MP + 12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
849,"APPLE iPhone 13 (Midnight, 256 GB)",4.7,"₹72,999
₹79,9008% off",256 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,A15 Bionic Chip Processor,Brand Warranty for 1 Year
886,KARBONN K9,4.7,"₹1,325
₹1,52913% off",6.6 cm (2.6 inch) QVGA Display,1800 mAh Battery,2MP Rear Camera,1 Year Manufacturer Warranty,
941,itel Power 430,4.7,"₹1,635",8 MB RAM | 8 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,2500 mAh Battery,12+1 Month Warranty | 111 Days Replacement Offer (Special Offer)
999,"APPLE iPhone 13 (Green, 256 GB)",4.7,"₹73,999
₹79,9007% off",256 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,A15 Bionic Chip Processor,Brand Warranty for 1 Year
1071,"APPLE iPhone 14 Pro Max (Deep Purple, 128 GB)",4.7,"₹1,32,999
₹1,39,9004% off",128 GB ROM,48MP + 12MP + 12MP + 12MP | 12MP Front Camera,17.02 cm (6.7 inch) Super Retina XDR Display,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
