,names,stars,price_details,memory,camara_info,display,battery,processor
16,"APPLE iPhone 14 (Midnight, 128 GB)",4.7,"₹71,999
₹79,9009% off",128 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
42,"APPLE iPhone 14 (Starlight, 128 GB)",4.7,"₹71,999
₹79,9009% off",128 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
71,"APPLE iPhone 14 (Purple, 128 GB)",4.7,"₹71,999
₹79,9009% off",128 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
74,"APPLE iPhone 14 (Blue, 128 GB)",4.7,"₹71,999
₹79,9009% off",128 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
244,"APPLE iPhone 13 (Blue, 128 GB)",4.7,"₹62,999
₹69,9009% off",128 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,A15 Bionic Chip Processor,Brand Warranty for 1 Year
255,"APPLE iPhone 14 Plus (Starlight, 128 GB)",4.7,"₹80,999
₹89,9009% off",128 GB ROM,12MP + 12MP | 12MP Front Camera,17.02 cm (6.7 inch) Super Retina XDR Display,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
263,"APPLE iPhone 14 ((PRODUCT)RED, 128 GB)",4.7,"₹71,999
₹79,9009% off",128 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
291,SAMSUNG Guru Music 2,4.7,"₹2,069
₹2,0991% off",NA ROM,800 mAh Battery,5.08 cm (2 inch) NA Display,1 Year Manufacturer Warranty,
293,"APPLE iPhone 14 Plus (Purple, 128 GB)",4.7,"₹80,999
₹89,9009% off",128 GB ROM,12MP + 12MP | 12MP Front Camera,17.02 cm (6.7 inch) Super Retina XDR Display,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
294,"OPPO A17 (Sunlight Orange, 64 GB)",4.7,"₹12,499
₹14,99916% off",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,50MP + 0.3MP + 0.3MP | 5MP Front Camera,16.66 cm (6.56 inch) HD+ Display,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G35 Processor
325,"realme C11 2021 (Cool Blue, 64 GB)",4.7,"₹8,999
₹9,99910% off",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Octa-core Processor
357,"POCO X4 Pro 5G (Laser Blue, 64 GB)",4.7,"₹15,999
₹22,99930% off",6 GB RAM | 64 GB ROM | Expandable Upto 1 TB,64MP + 8MP + 2MP | 16MP Front Camera,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
375,"APPLE iPhone 14 (Blue, 256 GB)",4.7,"₹81,999
₹89,9008% off",256 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
395,"APPLE iPhone 14 (Purple, 256 GB)",4.7,"₹81,999
₹89,9008% off",256 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
