,names,stars,memory,camara_info,display,battery,processor,Price
31,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",4.5,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD Display,5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor,8999.0
37,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",4.5,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD Display,5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor,8999.0
56,"realme C30s (Stripe Blue, 32 GB)",4.5,2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,Unisoc SC9863A/ Unisoc SC9863A1 Processor,6999.0
84,"realme C33 (Aqua Blue, 64 GB)",4.5,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 0.3MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,Unisoc T612 Processor,9999.0
87,"OPPO A17k (Gold, 64 GB)",4.5,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,8MP Rear Camera | 5MP Front Camera,16.66 cm (6.56 inch) HD+ Display,5000 mAh Battery,Mediatek Helio P35 Processor,9499.0
88,"OPPO A17k (Navy Blue, 64 GB)",4.5,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,8MP Rear Camera | 5MP Front Camera,16.66 cm (6.56 inch) HD+ Display,5000 mAh Battery,Mediatek Helio P35 Processor,9499.0
101,"realme C30s (Stripe Black, 32 GB)",4.5,2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,Unisoc SC9863A/ Unisoc SC9863A1 Processor,6999.0
131,"realme C31 (Light Silver, 32 GB)",4.5,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP + 2MP + 0.3MP | 5MP Front Camera,16.56 cm (6.52 inch) HD Display,5000 mAh Battery,Unisoc T612 Processor,9299.0
145,"realme C31 (Dark Green, 32 GB)",4.5,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP + 2MP + 0.3MP | 5MP Front Camera,16.56 cm (6.52 inch) HD Display,5000 mAh Battery,Unisoc T612 Processor,9299.0
405,"realme Narzo 50i (Mint Green, 32 GB)",4.5,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) Display,5000 mAh Battery,SC9863A Processor,6921.0
448,"realme Narzo 50i (Carbon Black, 32 GB)",4.5,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) Display,5000 mAh Battery,SC9863A Processor,6880.0
799,itel Power200,4.5,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,2500 mAh Battery,1 Year Warranty for device 6 months for accessories,1376.0
911,I Kall K20,4.5,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,2500 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,929.0
915,itel Ace 2,4.5,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,0MP Front Camera,4.57 cm (1.8 inch) Quarter QVGA Display,1000 mAh Lithium Ion Battery,Spreadtrum Processor,947.0
