,names,stars,price_details,memory,camara_info,display,battery,processor
33,"APPLE iPhone 11 (White, 128 GB)",4.6,"₹46,999
₹48,9003% off",128 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Liquid Retina HD Display,A13 Bionic Chip Processor,Brand Warranty of 1 Year
43,"APPLE iPhone 11 (Black, 128 GB)",4.6,"₹46,999
₹48,9003% off",128 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Liquid Retina HD Display,A13 Bionic Chip Processor,Brand Warranty of 1 Year
78,"APPLE iPhone 11 (Black, 64 GB)",4.6,"₹40,999
₹43,9006% off",64 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Liquid Retina HD Display,A13 Bionic Chip Processor,Brand Warranty of 1 Year
184,"APPLE iPhone 12 (Black, 128 GB)",4.6,"₹56,999
₹64,90012% off",128 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
235,"APPLE iPhone 11 (White, 64 GB)",4.6,"₹40,999
₹43,9006% off",64 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Liquid Retina HD Display,A13 Bionic Chip Processor,Brand Warranty of 1 Year
603,"APPLE iPhone 12 (Red, 128 GB)",4.6,"₹56,999
₹64,90012% off",128 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
657,"realme C21Y (Cross Black, 32 GB)",4.6,"₹9,499
₹9,9995% off",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Unisoc T610 Processor
731,"APPLE iPhone 12 (Purple, 64 GB)",4.6,"₹53,999
₹59,9009% off",64 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
768,"APPLE iPhone 12 (Black, 64 GB)",4.6,"₹53,999
₹59,9009% off",64 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
778,"APPLE iPhone 11 (Red, 128 GB)",4.6,"₹46,999
₹48,9003% off",128 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Liquid Retina HD Display,A13 Bionic Chip Processor,Brand Warranty of 1 Year
931,"APPLE iPhone 12 (Green, 64 GB)",4.6,"₹53,999
₹59,9009% off",64 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Super Retina XDR Display,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield
1072,"APPLE iPhone 11 (Purple, 64 GB)",4.6,"₹42,999
₹43,9002% off",64 GB ROM,12MP + 12MP | 12MP Front Camera,15.49 cm (6.1 inch) Liquid Retina HD Display,A13 Bionic Chip Processor,Brand Warranty of 1 Year
1141,Kechaoda K28,4.6,"₹1,399
₹1,4996% off",32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1700 mAh Battery,1 Year Manufacturer Warranty
