,names,stars,memory,camara_info,display,battery,processor,Price
272,"MOTOROLA e32 (Arctic Blue, 64 GB)",4.1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Mediatek Helio G37 Processor,8999.0
282,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
310,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
311,Nokia 150 DS 2020,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,1020 mAh Lithium-ion Battery,MediaTek Processor,2577.0
317,Kechaoda K115,4.1,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,3.66 cm (1.44 inch) QVGA Display,850 mAh Battery,6 Months,1149.0
329,Motorola a10,4.1,0 MB ROM | Expandable Upto 32 GB,1750 mAh Battery,4.57 cm (1.8 inch) Quarter QVGA Display,2 Year Replacement,,1449.0
336,Kechaoda K115,4.1,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,3.66 cm (1.44 inch) QVGA Display,850 mAh Battery,6 Months,1190.0
338,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
347,"REDMI 10A (Slate Grey, 32 GB)",4.1,3 GB RAM | 32 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,5000 mAh Battery,12 months,7699.0
366,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
392,itel Magic3 Smart Touch Keypad,4.1,8 MB RAM | 8 MB ROM,1.3MP Rear Camera,7.11 cm (2.8 inch) Display,1500 mAh Battery,Smart Touch Keypad - Add a Magical Touch to your Life,1499.0
394,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
401,"SAMSUNG Galaxy A03 (Blue, 32 GB)",4.1,3 GB RAM | 32 GB ROM,48MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,Unisoc UMS9230 Processor,8463.0
408,LAVA Flip,4.1,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.08MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1200 mAh Lithium-ion Battery,MTK6261D Processor,1911.0
412,Kechaoda K28,4.1,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1700 mAh Battery,1 Year Manufacturer Warranty,1330.0
422,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
424,Nokia 105 PLUS,4.1,4 MB RAM | 4 MB ROM,0MP Front Camera,4.5 cm (1.77 inch) Display,1000 mAh Lithium Ion Battery,MTK6261D Processor,1549.0
427,Nokia 105 PLUS,4.1,4 MB RAM | 4 MB ROM,0MP Front Camera,4.5 cm (1.77 inch) Display,1000 mAh Lithium Ion Battery,MTK6261D Processor,1549.0
434,Kechaoda K28,4.1,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1700 mAh Battery,1 Year Manufacturer Warranty,1350.0
450,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
452,itel Muzik 400,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,3000 mAh Battery,ARM9 architecture (Single core) Processor,1615.0
457,LAVA A1 2021,4.1,32 MB RAM | 24 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.57 cm (1.8 inch) Quarter QVGA Display,800 mAh Lithium Ion Battery,1 Year Manufacturer Replacement Guarantee for Phone and 6 Months Replacement for Accessories in the Box,1279.0
468,LAVA A1 2021,4.1,0 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,800 mAh Li-ion Battery,1 year manufacturer replacement guarantee for Phone and 6 months replacement for accessories in the box,1159.0
476,itel Power 110,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,2500 mAh Lithium-ion Battery,SC6531E Processor,1325.0
478,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
488,LAVA Hero 600i,4.1,4 MB RAM | 3 MB ROM | Expandable Upto 32 GB,620 mAh Battery,4.57 cm (1.8 inch) Display,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,,948.0
506,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
508,Kechaoda K115,4.1,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,3.66 cm (1.44 inch) QVGA Display,850 mAh Battery,6 Months,1170.0
534,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
540,SAMSUNG GURU MUSIC 2,4.1,8 MB RAM | 0 GB ROM | Expandable Upto 16 GB,0MP | 0MP Front Camera,5.08 cm (2 inch) QVGA Display,800 mAh Battery,0 0 0 208MHz Processor,1995.0
543,LAVA Flip,4.1,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.08MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1200 mAh Lithium-ion Battery,MTK6261D Processor,1869.0
544,itel It2171,4.1,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 year,949.0
546,itel Power 410,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,2500 mAh Lithium-ion Battery,SC6531E Processor,1499.0
547,LAVA 34 Ultra,4.1,24 MB RAM | 32 MB ROM | Expandable Upto 64 GB,0.8MP Rear Camera,6.1 cm (2.4 inch) Display,2575 mAh Li-ion Battery,1 Year Manufacturer Replacement Guarantee for Phone and 6 Months Replacement for Accessories In the Box,1649.0
551,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
562,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
563,SAMSUNG Guru 1200,4.1,153 MB RAM | 153 MB ROM,800 mAh Battery,3.81 cm (1.5 inch) Display,0 0 0 0 Processor Processor,1 Year Manufacturer Warranty,1890.0
590,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
593,"itel Vision 3 (Deep Ocean Black, 64 GB)",4.1,3 GB RAM | 64 GB ROM | Expandable Upto 128 GB,8MP Rear Camera | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Lithium Polymer Battery,Unisoc 9863A Processor,6864.0
597,Kechaoda K115,4.1,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,3.66 cm (1.44 inch) QVGA Display,850 mAh Battery,6 Months,1160.0
599,Kechaoda K115,4.1,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,3.66 cm (1.44 inch) QVGA Display,850 mAh Battery,6 Months,1180.0
618,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
620,LAVA Hero 600i,4.1,4 MB RAM | 3 MB ROM | Expandable Upto 32 GB,620 mAh Battery,4.57 cm (1.8 inch) Display,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,,948.0
623,itel Power 410,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,2500 mAh Lithium-ion Battery,SC6531E Processor,1499.0
624,itel Magic3 Smart Touch Keypad,4.1,8 MB RAM | 8 MB ROM,1.3MP Rear Camera,7.11 cm (2.8 inch) Display,1500 mAh Battery,Smart Touch Keypad - Add a Magical Touch to your Life,1499.0
629,itel Power 410,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,2500 mAh Lithium-ion Battery,SC6531E Processor,1499.0
646,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
649,LAVA A5,4.1,32 MB RAM | 24 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1000 mAh Li-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,1419.0
660,Nokia 105 PLUS,4.1,4 MB RAM | 4 MB ROM,0MP Front Camera,4.5 cm (1.77 inch) Display,1000 mAh Lithium Ion Battery,MTK6261D Processor,1399.0
664,Nokia 105 PLUS,4.1,4 MB RAM | 4 MB ROM,0MP Front Camera,4.5 cm (1.77 inch) Display,1000 mAh Lithium Ion Battery,MTK6261D Processor,1399.0
666,"itel Vision 3 (Multi Green, 64 GB)",4.1,3 GB RAM | 64 GB ROM | Expandable Upto 128 GB,8MP Rear Camera | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Lithium Polymer Battery,Unisoc 9863A Processor,6911.0
674,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
679,Nokia 5310ds,4.1,8 MB RAM | 16 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,1200 mAh Lithium-ion Battery,MT6260A Processor,3549.0
685,"Redmi 9A Sport (Carbon Black, 32 GB)",4.1,2 GB RAM | 32 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,5000 mAh Battery,1 Year Warranty,7289.0
686,"Redmi 9A Sport (Coral Green, 32 GB)",4.1,2 GB RAM | 32 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,5000 mAh Battery,1 Year Warranty,6975.0
702,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
730,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
733,MTR Ferrari,4.1,64 MB RAM | 64 MB ROM,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,800 mAh Battery,12 Months,1300.0
743,Kechaoda A26,4.1,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,800 mAh Battery,1.68 cm (0.66 inch) Display,1 Year Company Warranty,,1120.0
758,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
764,"REDMI A1+ (Light Blue, 32 GB)",4.1,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,5000 mAh Lithium Polymer Battery,Mediatek Helio A22 Processor,7499.0
773,GREENBERRI RAFALE,4.1,32 MB RAM | 32 MB ROM,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 year domestic warranty,899.0
786,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
789,LAVA Hero 600i,4.1,4 MB RAM | 3 MB ROM | Expandable Upto 32 GB,620 mAh Battery,4.57 cm (1.8 inch) Display,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,,939.0
801,"SAMSUNG Galaxy A03 (Black, 32 GB)",4.1,3 GB RAM | 32 GB ROM,48MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,Unisoc UMS9230 Processor,8250.0
814,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
815,LAVA A3 Power,4.1,32 MB RAM | 24 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.5 cm (1.77 inch) Quarter QVGA Display,2575 mAh Li-ion Battery,1 Year Manufacturer Replacement Guarantee for Phone and 6 Months Replacement for Accessories In the Box,1497.0
828,I Kall k22 Plus,4.1,64 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year manufacturing warranty for mobile and 6 months for accessories,869.0
831,Kechaoda K9,4.1,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1700 mAh Battery,1 Year Manufacturer Warranty,1350.0
842,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
847,MTR Ferrari,4.1,64 MB RAM | 64 MB ROM,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,800 mAh Battery,12 Months,1300.0
848,MTR Ferrari,4.1,64 MB RAM | 64 MB ROM,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,800 mAh Battery,12 Months,1300.0
855,"LAVA Z2 (Flame Red, 32 GB)",4.1,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,13MP + 2MP | 8MP Front Camera,16.55 cm (6.517 inch) HD+ Display,5000 mAh Li-Polymer Battery,MediaTek Helio G35 Processor,7999.0
870,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
885,Kechaoda K66 The Music House 4,4.1,32 MB RAM | 64 MB ROM | Expandable Upto 32 GB,1.3MP Rear Camera,4.57 cm (1.8 inch) Display,400 mAh Battery,1 Year Brand Service Center Warranty,1399.0
897,Kechaoda A26,4.1,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,800 mAh Battery,1.68 cm (0.66 inch) Display,1 Year Company Warranty,,1085.0
898,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
926,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
944,Kechaoda K55 Pro,4.1,32 MB RAM | 64 MB ROM,1.3MP Rear Camera,4.57 cm (1.8 inch) Quarter QVGA Display,400 mAh Battery,1 Year Brand Service Center Warranty,1399.0
953,itel Muzik 400,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,3000 mAh Lithium-ion Battery,SC6531E Processor,1789.0
954,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
955,LAVA 34 Super,4.1,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,1.3MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,2500 mAh Battery,SC6531E Processor,1649.0
970,MTR STAR,4.1,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,1100 mAh Battery,1 year(domestic),749.0
980,LAVA A5,4.1,32 MB RAM | 24 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1000 mAh Li-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,1410.0
982,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
987,Kechaoda K115,4.1,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,3.66 cm (1.44 inch) QVGA Display,850 mAh Battery,6 Months,1149.0
988,Kechaoda K9,4.1,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1700 mAh Battery,1 Year Manufacturer Warranty,1350.0
989,Kechaoda K9,4.1,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1700 mAh Battery,1 Year Manufacturer Warranty,1350.0
1010,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
1026,Nokia 105DS PLUS,4.1,32 MB RAM | 32 MB ROM,0MP Front Camera,4.5 cm (1.77 inch) QVGA Display,800 mAh Battery,SC6531E Processor,1548.0
1027,"REDMI A1+ (Light Green, 32 GB)",4.1,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,5000 mAh Lithium Polymer Battery,Mediatek Helio A22 Processor,7499.0
1038,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
1041,Kechaoda A26,4.1,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,800 mAh Battery,1.68 cm (0.66 inch) Display,1 Year Company Warranty,,1110.0
1066,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
1083,MU M370,4.1,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,3.66 cm (1.44 inch) Display,700 mAh Battery,1 year Warranty,1249.0
1085,Cellecor R50,4.1,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.8MP Rear Camera,6.1 cm (2.4 inch) Display,2750 mAh Battery,1 Year Manufacturer Warranty,1459.0
1094,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
1111,LAVA Hero Punch,4.1,24 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0MP Front Camera,4.57 cm (1.8 inch) Quarter QVGA Display,620 mAh Li-ion Battery,1 Year Manufacturer Replacement Guarantee for Phone and 6 Months Replacement for Accessories in the Box,949.0
1122,itel it2163S,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support,989.0
1131,Kechaoda A27,4.1,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,800 mAh Battery,1.68 cm (0.66 inch) Display,1 Year Warranty,,1085.0
1132,Kechaoda K115,4.1,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,3.66 cm (1.44 inch) Display,850 mAh Battery,6 Months,1145.0
1140,"Tecno Pop 6 Pro (Peaceful Blue, 32 MB)",4.1,2 GB RAM | 32 MB ROM,8MP Rear Camera,16.66 cm (6.56 inch) HD+ Display,5000 mAh Battery,Unisoc SC9863A Processor,6949.0
