,names,stars,memory,camara_info,display,battery,processor,Price
656,KARBONN K110i,3.4,Expandable Upto 8 GB,1000 mAh Li-Ion Battery,4.57 cm (1.8 inch) QVGA Display,1 Year for Mobile & 6 Months for Accessories,,949.0
729,KARBONN K110i,3.4,0 MB ROM | Expandable Upto 8 GB,1000 mAh Battery,4.57 cm (1.8 inch) QVGA Display,1 Year for Mobile & 6 Months for Accessories,,949.0
1001,"I Kall Z18 (Jude Green, 64 GB)",3.4,4 GB RAM | 64 GB ROM | Expandable Upto 64 GB,13MP Rear Camera | 8MP Front Camera,17.32 cm (6.82 inch) Display,5000 mAh Battery,1 year manufacturing warranty for mobile and 6 months for box accessories,6799.0
