,names,stars,memory,camara_info,display,battery,processor,Price
788,"I Kall King Talking, Contact icon and Auto Call Recording",3.6,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,1500 mAh Battery,1 Year manufacturing warranty for mobile and 6 months for accessories,774.0
854,I Kall K43,3.6,32 MB RAM | 64 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year warranty for Mobile,889.0
959,Micromax X702,3.6,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,1000 mAh Battery,One Year manufacturer Warranty,1120.0
1054,I Kall K3310,3.6,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,1000 mAh Battery,1 Year warranty for device and 6 Months for box accessories,744.0
