,names,stars,memory,camara_info,display,battery,processor,Price
207,KARBONN KX3,3.9,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.57 cm (1.8 inch) Quarter QVGA Display,800 mAh Battery,1 Year Brand Warranty,985.0
241,Micromax X412,3.9,32 MB RAM | 32 MB ROM,1MP Rear Camera,4.5 cm (1.77 inch) Display,800 mAh Battery,12 Month,975.0
399,"REDMI A1+ (Light Green, 32 GB)",3.9,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,5000 mAh Lithium Polymer Battery,Mediatek Helio A22 Processor,8499.0
413,Micromax X412,3.9,32 MB RAM | 32 MB ROM,800 mAh Battery,4.5 cm (1.77 inch) Display,12 Month,,959.0
432,Micromax X818,3.9,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,7.11 cm (2.8 inch) Display,1450 mAh Battery,One Year manufacturer Warranty,1510.0
533,Micromax X708,3.9,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,1450 mAh Battery,One Year manufacturer Warranty,1349.0
608,KARBONN K9 Yuva,3.9,64 MB RAM | 32 KB ROM,2MP Rear Camera,4.57 cm (1.8 inch) QVGA Display,2502 mAh Battery,1 Year Manufacturer Warranty,1295.0
627,KARBONN KX3,3.9,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.57 cm (1.8 inch) Quarter QVGA Display,800 mAh Battery,1 Year Brand Warranty,985.0
645,Micromax X415,3.9,56 MB RAM | 36 MB ROM,0.03MP Rear Camera,4.5 cm (1.77 inch) Display,1000 mAh Battery,1 Year Brand Warranty,1040.0
689,Nokia 125 DS 2020,3.9,4 MB RAM | 4 MB ROM,1020 mAh Lithium-ion Battery,6.1 cm (2.4 inch) Display,MediaTek Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase,2345.0
735,MU M5000,3.9,32 MB RAM | 32 MB ROM,1.3MP Rear Camera,7.11 cm (2.8 inch) Display,2500 mAh Battery,1 Year,1179.0
833,Micromax X778,3.9,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,2700 mAh Battery,One Year manufacturer Warranty,1379.0
851,"Tecno Spark 8P (Turquoise Cyan, 64 GB)",3.9,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,50MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Battery,MediaTek Helio G85 Processor,8999.0
884,Nokia 2660 TA-1480 DS,3.9,0.046875 GB RAM | 0.125 GB ROM,0.3MP Rear Camera,7.11 cm (2.8 Inch) QVGA Display,1450 mAh Lithium Ion Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including battery from the date of purchase,4699.0
901,Kechaoda K66 The Music House 4,3.9,32 MB RAM | 64 MB ROM | Expandable Upto 32 GB,1.3MP Rear Camera,4.57 cm (1.8 inch) Display,400 mAh Battery,1 Year Brand Service Center Warranty,1220.0
903,Kechaoda K66 The Music House 4,3.9,32 MB RAM | 64 MB ROM,1.3MP Rear Camera,4.57 cm (1.8 inch) Quarter QVGA Display,400 mAh Battery,1 Year Brand Service Center Warranty,1200.0
963,MU M5000,3.9,32 MB RAM | 32 MB ROM,1.3MP Rear Camera,7.11 cm (2.8 inch) Display,2500 mAh Battery,1 Year,1299.0
966,Micromax X512,3.9,56 MB RAM | 24 MB ROM,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,1750 mAh Battery,1 Year Warranty,1150.0
984,Nokia 3310 DS 2020,3.9,16 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1200 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3799.0
1023,Micromax X415,3.9,32 MB RAM | 32 MB ROM,0.03MP Rear Camera,4.5 cm (1.77 inch) Display,1000 mAh Battery,1 Year Manufacturer Warranty,920.0
1025,itel Magic X,3.9,48 MB RAM | 128 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,1200 mAh Battery,12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),2295.0
1037,Kechaoda K10,3.9,32 MB RAM | 32 MB ROM,300 mAh Battery,1.68 cm (0.66 inch) NA Display,1 Year Manufacturer Warranty,,1180.0
1053,LAVA A7 2020,3.9,24 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,1800 mAh Lithium-ion Battery,1 Year Manufacturer Replacement Guarantee for Phone and 6 Months Replacement for Accessories in the Box,1579.0
1056,Nokia 6310,3.9,8 MB RAM | 16 MB ROM,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,1150 mAh Lithium Ion Battery,Unisoc 6531F Processor,3499.0
1096,Kechaoda K10,3.9,32 MB RAM | 32 MB ROM,300 mAh Battery,1.68 cm (0.66 inch) NA Display,1 Year Manufacturer Warranty,,1075.0
1125,Nokia 6310,3.9,8 MB RAM | 16 MB ROM,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,1150 mAh Lithium Ion Battery,Unisoc 6531F Processor,3499.0
1127,Nokia 6310,3.9,8 MB RAM | 16 MB ROM,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,1150 mAh Lithium Ion Battery,Unisoc 6531F Processor,3499.0
