,names,stars,price_details,memory,camara_info,display,battery,processor
792,"itel A23S (Sky Cyan, 32 GB)",3.5,"₹4,699
₹4,8994% off",2 GB RAM | 32 GB ROM,2MP Rear Camera,12.7 cm (5 inch) Display,3020 mAh Battery,"One Time Screen Replacement within 100 days of purchase, 1 Year warranty on mobile device & 6 months on accessories."
910,I Kall K52,3.5,₹839,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,1000 mAh Battery,4.57 cm (1.8 inch) Display,1 year manufacture warranty,
1100,BlackZone RANGER,3.5,"₹819
₹1,39941% off",64 MB RAM | 64 MB ROM,1000 mAh Battery,4.57 cm (1.8 inch) Display,1 Year Manufacturer Warranty for Device,
