,names,stars,price_details,memory,camara_info,display,battery,processor
31,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",4.5,"₹8,999
₹11,49921% off",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD Display,5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor
37,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",4.5,"₹8,999
₹11,49921% off",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD Display,5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor
56,"realme C30s (Stripe Blue, 32 GB)",4.5,"₹6,999
₹9,99930% off",2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,Unisoc SC9863A/ Unisoc SC9863A1 Processor
61,"vivo T1 44W (Starry Sky, 128 GB)",4.5,"₹14,499
₹19,99027% off",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP | 16MP Front Camera,16.36 cm (6.44 inch) Full HD+ AMOLED Display,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor
63,"vivo T1 44W (Midnight Galaxy, 128 GB)",4.5,"₹14,499
₹19,99027% off",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP | 16MP Front Camera,16.36 cm (6.44 inch) Full HD+ AMOLED Display,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor
84,"realme C33 (Aqua Blue, 64 GB)",4.5,"₹9,999
₹12,99923% off",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 0.3MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,Unisoc T612 Processor
87,"OPPO A17k (Gold, 64 GB)",4.5,"₹9,499
₹12,99926% off",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,8MP Rear Camera | 5MP Front Camera,16.66 cm (6.56 inch) HD+ Display,5000 mAh Battery,Mediatek Helio P35 Processor
88,"OPPO A17k (Navy Blue, 64 GB)",4.5,"₹9,499
₹12,99926% off",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,8MP Rear Camera | 5MP Front Camera,16.66 cm (6.56 inch) HD+ Display,5000 mAh Battery,Mediatek Helio P35 Processor
92,"vivo T1X (Space Blue, 64 GB)",4.5,"₹11,999
₹16,99029% off",4 GB RAM | 64 GB ROM,50MP + 2MP | 8MP Front Camera,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 680 Processor
96,"vivo T1X (Gravity Black, 64 GB)",4.5,"₹11,999
₹16,99029% off",4 GB RAM | 64 GB ROM,50MP + 2MP | 8MP Front Camera,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 680 Processor
97,"vivo T1X (Gravity Black, 128 GB)",4.5,"₹12,999
₹17,99027% off",4 GB RAM | 128 GB ROM,50MP + 2MP | 8MP Front Camera,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 680 Processor
98,"realme 9i 5G (Rocking Black, 64 GB)",4.5,"₹14,999
₹17,99916% off",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Ion Battery,Mediatek Dimensity 810 5G Processor
101,"realme C30s (Stripe Black, 32 GB)",4.5,"₹6,999
₹9,99930% off",2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,Unisoc SC9863A/ Unisoc SC9863A1 Processor
112,"vivo T1X (Space Blue, 128 GB)",4.5,"₹12,999
₹17,99027% off",4 GB RAM | 128 GB ROM,50MP + 2MP | 8MP Front Camera,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 680 Processor
117,"realme 9i 5G (Soulful Blue, 64 GB)",4.5,"₹14,999
₹17,99916% off",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Ion Battery,Mediatek Dimensity 810 5G Processor
119,"realme 9i 5G (Metallica Gold, 64 GB)",4.5,"₹14,999
₹17,99916% off",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Ion Battery,Mediatek Dimensity 810 5G Processor
131,"realme C31 (Light Silver, 32 GB)",4.5,"₹9,299
₹10,99915% off",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP + 2MP + 0.3MP | 5MP Front Camera,16.56 cm (6.52 inch) HD Display,5000 mAh Battery,Unisoc T612 Processor
134,"realme Narzo 50 (Speed Blue, 64 GB)",4.5,"₹11,775
₹15,99926% off",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,50MP + 2MP + 2MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Polymer Battery,Mediatek Helio G96 Processor
145,"realme C31 (Dark Green, 32 GB)",4.5,"₹9,299
₹10,99915% off",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP + 2MP + 0.3MP | 5MP Front Camera,16.56 cm (6.52 inch) HD Display,5000 mAh Battery,Unisoc T612 Processor
183,"POCO X5 Pro 5G (Horizon Blue, 256 GB)",4.5,"₹24,999
₹28,99913% off",8 GB RAM | 256 GB ROM,108MP + 8MP + 2MP | 16MP Front Camera,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 778G Processor
216,"POCO X5 Pro 5G (Astral Black, 256 GB)",4.5,"₹24,999
₹28,99913% off",8 GB RAM | 256 GB ROM,108MP + 8MP + 2MP | 16MP Front Camera,16.94 cm (6.67 inch) Full HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 778G Processor
240,"realme 10 Pro+ 5G (Dark Matter, 128 GB)",4.5,"₹24,999
₹25,9993% off",6 GB RAM | 128 GB ROM,108MP + 8MP + 2MP | 16MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Mediatek Dimensity 1080 5G Processor
313,"realme 10 Pro+ 5G (Hyperspace, 128 GB)",4.5,"₹25,999
₹27,9997% off",8 GB RAM | 128 GB ROM,108MP + 8MP + 2MP | 16MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Mediatek Dimensity 1080 5G Processor
316,"realme 10 Pro+ 5G (Hyperspace, 128 GB)",4.5,"₹24,999
₹25,9993% off",6 GB RAM | 128 GB ROM,108MP + 8MP + 2MP | 16MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Mediatek Dimensity 1080 5G Processor
405,"realme Narzo 50i (Mint Green, 32 GB)",4.5,"₹6,921
₹7,99913% off",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) Display,5000 mAh Battery,SC9863A Processor
