,names,stars,price_details,memory,camara_info,display,battery,processor
34,itel IT5626,4.0,"₹1,749
₹2,09916% off",8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor
62,itel IT5626,4.0,"₹1,749
₹2,09916% off",8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor
90,itel IT5626,4.0,"₹1,749
₹2,09916% off",8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor
118,itel IT5626,4.0,"₹1,749
₹2,09916% off",8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor
146,itel IT5626,4.0,"₹1,749
₹2,09916% off",8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor
174,itel IT5626,4.0,"₹1,749
₹2,09916% off",8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor
202,itel IT5626,4.0,"₹1,749
₹2,09916% off",8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor
230,itel IT5626,4.0,"₹1,749
₹2,09916% off",8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor
242,Micromax X416,4.0,"₹961
₹1,25923% off",32 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,1000 mAh Battery,One Year manufacturer Warranty
256,"Tecno Spark 9 (Sky Mirror, 128 GB)",4.0,"₹9,695
₹13,49928% off",6 GB RAM | 128 GB ROM | Expandable Upto 128 GB,13MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,MediaTek Helio G37 Octa Core Processor
258,itel IT5626,4.0,"₹1,749
₹2,09916% off",8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor
259,Micromax X413,4.0,₹945,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,800 mAh Battery,One Year manufacturer Warranty
284,"MOTOROLA e13 (Cosmic Black, 64 GB)",4.0,"₹6,999
₹9,99930% off",2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor
314,itel IT5626,4.0,"₹1,749
₹2,09916% off",8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor
339,itel MagicX Pro,4.0,"₹2,599",64 MB RAM | 128 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,2500 mAh Battery,2 years warranty on mobile device & 6 months on accessories.
342,itel IT5626,4.0,"₹1,749
₹2,09916% off",8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor
351,"Infinix Smart 6 Plus (Tranquil Sea Blue, 64 GB)",4.0,"₹8,299
₹9,99917% off",3 GB RAM | 64 GB ROM | Expandable Upto 512 GB,8 MP + Depth Lens | 5MP Front Camera,17.32 cm (6.82 inch) HD+ Display,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G25 Processor
370,itel IT5626,4.0,"₹1,749
₹2,09916% off",8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor
377,"Infinix Hot 12 Pro (Electric Blue, 128 GB)",4.0,"₹12,299
₹15,99923% off",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,50 MP + Depth Lens | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Lithium-ion Polymer Battery,Unisoc T616 Processor
378,itel MagicX Pro,4.0,"₹2,599",64 MB RAM | 128 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,2500 mAh Battery,2 Years Manufacturer Warranty on Device and 6 Months on Accessories
382,"Infinix Hot 12 Pro (Halo White, 128 GB)",4.0,"₹12,299
₹15,99923% off",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,50 MP + Depth Lens | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Lithium-ion Polymer Battery,Unisoc T616 Processor
383,Micromax X416,4.0,"₹980
₹1,57837% off",32 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,1000 mAh Battery,One Year manufacturer Warranty
398,itel IT5626,4.0,"₹1,749
₹2,09916% off",8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor
414,itel Ace 2,4.0,"₹899
₹1,44937% off",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,0MP Front Camera,4.57 cm (1.8 inch) Quarter QVGA Display,1000 mAh Lithium Ion Battery,Spreadtrum Processor
423,"realme Narzo 50A Prime (Flash Black, 64 GB)",4.0,"₹11,423
₹13,49915% off",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,50MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
426,itel IT5626,4.0,"₹1,749
₹2,09916% off",8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor
454,itel IT5626,4.0,"₹1,749
₹2,09916% off",8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,2500 mAh Lithium ion Battery,SC6531C Processor
464,"SAMSUNG Galaxy A03 Core (Black, 32 GB)",4.0,"₹6,724
₹10,49935% off",2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Li-ion Battery,Octa Core Processor
