,names,stars,memory,camara_info,display,battery,processor,Price
291,SAMSUNG Guru Music 2,4.7,NA ROM,800 mAh Battery,5.08 cm (2 inch) NA Display,1 Year Manufacturer Warranty,,2069.0
325,"realme C11 2021 (Cool Blue, 64 GB)",4.7,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Octa-core Processor,8999.0
886,KARBONN K9,4.7,6.6 cm (2.6 inch) QVGA Display,1800 mAh Battery,2MP Rear Camera,1 Year Manufacturer Warranty,,1325.0
941,itel Power 430,4.7,8 MB RAM | 8 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,2500 mAh Battery,12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),1635.0
