,names,stars,price_details,memory,camara_info,display,battery,processor
2,itel it2163S,4.1,"₹989
₹9991% off",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support
12,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",4.1,"₹15,999
₹24,99936% off",8 GB RAM | 128 GB ROM,50MP + 8MP + 2MP | 16MP Front Camera,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 695 5G Processor
30,itel it2163S,4.1,"₹989
₹9991% off",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support
44,"MOTOROLA G62 5G (Frosted Blue, 128 GB)",4.1,"₹15,999
₹24,99936% off",8 GB RAM | 128 GB ROM,50MP + 8MP + 2MP | 16MP Front Camera,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 695 5G Processor
58,itel it2163S,4.1,"₹989
₹9991% off",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support
73,"MOTOROLA g72 (Meteorite Grey, 128 GB)",4.1,"₹15,999
₹21,99927% off",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,108MP + 8MP + 2MP | 16MP Front Camera,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Lithium Battery,Mediatek Helio G99 Processor
86,itel it2163S,4.1,"₹989
₹9991% off",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support
89,"MOTOROLA g82 5G (Meterorite Grey, 128 GB)",4.1,"₹20,699
₹25,99920% off",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Battery,Qualcomm Snapdragon 695 5G Processor
93,"realme C30 (Bamboo Green, 32 GB)",4.1,"₹6,999
₹9,29924% off",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,Unisoc T612 Processor
99,"MOTOROLA g82 5G (White Lily, 128 GB)",4.1,"₹20,699
₹25,99920% off",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Battery,Qualcomm Snapdragon 695 5G Processor
114,itel it2163S,4.1,"₹989
₹9991% off",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support
115,"realme C30 (Lake Blue, 32 GB)",4.1,"₹6,999
₹9,29924% off",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,Unisoc T612 Processor
116,"realme C30 (Denim Black, 32 GB)",4.1,"₹6,999
₹9,29924% off",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,Unisoc T612 Processor
124,"MOTOROLA g72 (Polar Blue, 128 GB)",4.1,"₹15,999
₹21,99927% off",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,108MP + 8MP + 2MP | 16MP Front Camera,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Lithium Battery,Mediatek Helio G99 Processor
127,"REDMI 10A (Charcoal Black, 32 GB)",4.1,"₹7,694
₹10,99930% off",3 GB RAM | 32 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,5000 mAh Battery,12 months
142,itel it2163S,4.1,"₹989
₹9991% off",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support
149,itel It2171,4.1,"₹999
₹1,14913% off",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.57 cm (1.8 inch) Quarter QVGA Display,1000 mAh Battery,"100 Days Replacement Warranty, 1 year warranty for Handset & 6 Months Warranty for Accessories"
159,"MOTOROLA Edge 20 5G (Frosted Pearl, 128 GB)",4.1,"₹20,999
₹34,99940% off",8 GB RAM | 128 GB ROM,108MP + 8MP + 16MP | 32MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,4000 mAh Battery,Qualcomm Snapdragon 778G Processor
170,itel it2163S,4.1,"₹989
₹9991% off",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support
185,"MOTOROLA e13 (Aurora Green, 64 GB)",4.1,"₹7,999
₹10,99927% off",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor
188,"POCO X4 Pro 5G (Laser Blue, 128 GB)",4.1,"₹18,499
₹25,99928% off",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,64MP + 8MP + 2MP | 16MP Front Camera,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
189,Nokia 150 TA-1235 DS,4.1,"₹2,499
₹2,79910% off",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,1020 mAh Lithium-ion Battery,MediaTek Processor
198,itel it2163S,4.1,"₹989
₹9991% off",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support
226,itel it2163S,4.1,"₹989
₹9991% off",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,1200 mAh Lithium Ion Battery,4.57 cm (1.8 inch) Quarter QVGA Display,7 Days Battery Backup with 1200mAh with Super Battery Mode,9 Indian Input Language Support
