,names,stars,memory,camara_info,display,battery,processor,Price
437,"I Kall 401 PRO DARK BLUE (Dark Blue, 64 GB)",3.3,4 GB RAM | 64 GB ROM | Expandable Upto 120 GB,13MP Rear Camera,15.9 cm (6.26 inch) HD Display,4000 mAh Battery,Mediatek Processor,6499.0
972,DIZO Star 500,3.3,32 MB RAM | 32 MB ROM | Expandable Upto 64 GB,0.3MP Rear Camera,7.11 cm (2.8 inch) QVGA Display,1900 mAh Battery,SC6531E Processor,1870.0
1017,"Micromax Bharat 2 Plus (Champagne, 8 GB)",3.3,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,5MP Rear Camera | 2MP Front Camera,10.16 cm (4 inch) WVGA Display,1600 mAh Li-ion Battery,SC9832 Processor,3599.0
