,names,stars,price_details,memory,camara_info,display,battery,processor
19,"MOTOROLA g52 (Charcoal Grey, 128 GB)",4.2,"₹12,999
₹19,99935% off",6 GB RAM | 128 GB ROM,50MP + 8MP + 2MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor
29,"MOTOROLA g31 (Baby Blue, 64 GB)",4.2,"₹9,499
₹13,99932% off",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP | 13MP Front Camera,16.26 cm (6.4 Inch) Full HD+ Display,5000 mAh LiPo Battery,Mediatek Helio G85 Processor
36,Nokia 105 SS,4.2,"₹1,299
₹1,59918% off",32 MB RAM | 32 MB ROM,0MP Front Camera,4.5 cm (1.77 inch) QVGA Display,800 mAh Lithium Ion Battery,SC6531E Processor
39,"MOTOROLA G32 (Mineral Gray, 64 GB)",4.2,"₹10,499
₹16,99938% off",4 GB RAM | 64 GB ROM,50MP + 8MP + 2MP | 16MP Front Camera,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor
41,"MOTOROLA g31 (Meteorite Grey, 64 GB)",4.2,"₹9,499
₹13,99932% off",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP | 13MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,5000 mAh LiPo Battery,Mediatek Helio G85 Processor
48,"POCO M4 Pro 5G (Cool Blue, 64 GB)",4.2,"₹12,999
₹16,99923% off",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 8MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor
49,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",4.2,"₹14,999
₹21,99931% off",6 GB RAM | 128 GB ROM,50MP + 8MP + 2MP | 16MP Front Camera,16.64 cm (6.55 inch) Full HD+ Display,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 695 5G Processor
57,"MOTOROLA g52 (Metallic White, 64 GB)",4.2,"₹10,999
₹17,99938% off",4 GB RAM | 64 GB ROM,50MP + 8MP + 2MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor
64,"POCO M4 Pro 5G (Cool Blue, 128 GB)",4.2,"₹15,999
₹21,99927% off",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor
72,"MOTOROLA e40 (Carbon Gray, 64 GB)",4.2,"₹8,999
₹10,99918% off",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,48MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,UNISOC T700 Processor
100,"POCO M4 5G (Power Black, 128 GB)",4.2,"₹13,999
₹18,99926% off",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,50MP + 2MP | 8MP Front Camera,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor
102,"POCO M4 5G (Cool Blue, 128 GB)",4.2,"₹13,999
₹18,99926% off",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,50MP + 2MP | 8MP Front Camera,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor
104,"MOTOROLA g42 (Metallic Rose, 64 GB)",4.2,"₹10,999
₹16,99935% off",4 GB RAM | 64 GB ROM,50MP + 8MP + 2MP | 16MP Front Camera,16.43 cm (6.47 inch) Full HD+ AMOLED Display,5000 mAh Lithium polymer Battery,Qualcomm Snapdragon 680 Processor
106,"POCO M4 Pro 5G (Power Black, 128 GB)",4.2,"₹15,999
₹21,99927% off",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor
125,"realme C35 (Glowing Black, 128 GB)",4.2,"₹13,999
₹15,99912% off",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 0.3MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Polymer Battery,Unisoc Tiger T616 Processor
126,"realme C35 (Glowing Green, 128 GB)",4.2,"₹13,999
₹15,99912% off",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 0.3MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Polymer Battery,Unisoc Tiger T616 Processor
130,"REDMI 10 (Pacific Blue, 128 GB)",4.2,"₹11,999
₹16,99929% off",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP | 5MP Front Camera,17.02 cm (6.7 inch) HD+ Display,6000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor
133,"POCO M4 Pro 5G (Cool Blue, 128 GB)",4.2,"₹15,499
₹19,99922% off",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor
148,"Infinix Hot 20 5G (Blaster Green, 128 GB)",4.2,"₹12,999
₹19,99935% off",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + AI Lens | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Li-ion Polymer Battery,Dimensity 810 Processor
152,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",4.2,"₹14,999
₹22,99934% off",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 750G Processor
158,"POCO M4 5G (Yellow, 64 GB)",4.2,"₹11,999
₹15,99925% off",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,50MP + 2MP | 8MP Front Camera,16.71 cm (6.58 inch) Full HD+ Display,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor
