,names,stars,price_details,memory,camara_info,display,battery,processor
788,"I Kall King Talking, Contact icon and Auto Call Recording",3.6,"₹774
₹8296% off",32 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,1500 mAh Battery,1 Year manufacturing warranty for mobile and 6 months for accessories
854,I Kall K43,3.6,₹889,32 MB RAM | 64 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year warranty for Mobile
940,"SAMSUNG Galaxy S20 FE 5G (Cloud Lavender, 128 GB)",3.6,"₹31,989
₹74,99057% off",8 GB RAM | 128 GB ROM,32MP Rear Camera,16.51 cm (6.5 inch) Display,4500 mAh Battery,1 Year Warranty
959,Micromax X702,3.6,"₹1,120
₹1,2208% off",32 MB RAM | 32 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,1000 mAh Battery,One Year manufacturer Warranty
1054,I Kall K3310,3.6,₹744,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,1000 mAh Battery,1 Year warranty for device and 6 Months for box accessories
