,names,stars,memory,camara_info,display,battery,processor,Price
644,ANGAGE ELITE,3.8,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,2500 mAh Battery,1 Month Manufacturing Warranty,879.0
665,Micromax J2,3.8,32 MB RAM | 32 MB ROM,800 mAh Battery,4.5 cm (1.77 inch) Display,One Year Manufacture Warranty,,968.0
712,Micromax S115,3.8,32 MB RAM | 32 MB ROM,1000 mAh Battery,4.5 cm (1.77 inch) Display,1 Year Manufacturer Warranty,,967.0
713,Micromax S115,3.8,32 MB RAM | 32 MB ROM,800 mAh Battery,4.5 cm (1.77 inch) Display,1 Year Manufacturer Warranty,,989.0
770,Micromax X740,3.8,128 MB RAM | 32 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,1800 mAh Battery,1 Year Manufacturing Warranty for Mobile and 6 Months Battery Warranty,1319.0
796,Micromax X809,3.8,32 MB RAM | 32 MB ROM,1MP Rear Camera,7.11 cm (2.8 inch) Display,1000 mAh Battery,1 Year Warranty,1389.0
834,"Nokia C01 Plus (Blue, 16 GB)",3.8,2 GB RAM | 16 GB ROM,5MP Rear Camera | 2MP Front Camera,13.84 cm (5.45 inch) HD+ Display,3000 mAh Li-ion Battery,Unisoc SC9863A Processor,5199.0
852,Kechaoda K55 Pro,3.8,32 MB RAM | 64 MB ROM,1.3MP Rear Camera,4.57 cm (1.8 inch) Quarter QVGA Display,400 mAh Battery,1 Year Brand Service Center Warranty,1220.0
876,Micromax J2,3.8,32 MB RAM | 32 MB ROM,800 mAh Battery,4.5 cm (1.77 inch) Display,One Year Manufacture Warranty,,975.0
943,GREENBERRI VIRAT,3.8,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
945,"LAVA Z2 Max (Stroked Blue, 32 GB)",3.8,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 8MP Front Camera,17.78 cm (7 inch) HD+ Display,6000 mAh Li-Polymer Battery,MediaTek Helio Quad Core Processor,7799.0
965,PHILIPS Xenium E209,3.8,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,0.08MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1000 mAh Li-ion Battery,1 Year Warranty on Mobile and 6 Months on Battery,1295.0
969,KARBONN KU3i,3.8,52 MB RAM | 32 MB ROM | Expandable Upto 16 GB,0MP | 0MP Front Camera,4.57 cm (1.8 inch) FWVGA Display,1000 mAh Battery,NA Processor,989.0
981,"Nokia C01 Plus (Grey, 16 GB)",3.8,2 GB RAM | 16 GB ROM,5MP Rear Camera | 2MP Front Camera,13.84 cm (5.45 inch) HD+ Display,3000 mAh Li-ion Battery,Unisoc SC9863A Processor,5199.0
997,Salora Coral,3.8,32 MB RAM | 32 MB ROM | Expandable Upto 8 GB,1.3MP Rear Camera,6.1 cm (2.4 inch) VGA Display,1800 mAh Battery,Spreadtrum Processor,899.0
1012,BlackZone PORSCHE 911,3.8,64 MB RAM | 64 MB ROM,0.3MP Rear Camera,3.66 cm (1.44 inch) Display,800 mAh Battery,1 Year Manufacturer Warranty for Device,1459.0
1013,Kechaoda K55 Pro,3.8,32 MB RAM | 64 MB ROM,1.3MP Rear Camera,4.57 cm (1.8 inch) Quarter QVGA Display,400 mAh Battery,1 Year Brand Service Center Warranty,1220.0
1016,Salora Coral,3.8,32 MB RAM | 32 MB ROM,1.3MP Rear Camera,6.1 cm (2.4 inch) Display,1800 mAh Battery,1 Year,899.0
1103,"Nokia C01 Plus (Grey, 32 GB)",3.8,2 GB RAM | 32 GB ROM | Expandable Upto 128 GB,5MP Rear Camera | 2MP Front Camera,13.84 cm (5.45 inch) HD+ Display,3000 mAh Lithium Polymer Battery,Unisoc SC9863A Processor,5699.0
1105,Micromax X809,3.8,32 MB RAM | 32 MB ROM,1MP Rear Camera,7.11 cm (2.8 inch) Display,1000 mAh Battery,1 Year Warranty,1399.0
1113,"MarQ by Flipkart M3 Smart (M3) (Blue,32GB)( 2GB RAM)",3.8,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + Digital Camera | 5MP Front Camera,15.46 cm (6.088 inch) HD+ Display,5000 mAh Lithium-ion Polymer Battery,Octa Core Processor,5499.0
