Product_title,Product_Price,Product_brand_name
"Redmi A1 32 GB, 2 GB RAM, Black Mobile Phone",5949,Xiaomi
"Redmi A1 Plus 32 GB, 3 GB RAM, Black Mobile Phone",7499,Xiaomi
"Redmi A1 Plus 32 GB, 2 GB RAM, Light Green Mobile Phone",6499,Xiaomi
"Redmi A1 32 GB, 2 GB RAM, Light Green Mobile Phone",5949,Xiaomi
"Redmi A1 Plus 32 GB, 3 GB RAM, Light Green Mobile Phone",7499,Xiaomi
"Redmi 12C 64 GB, 4 GB RAM, Lavender Purple, Mobile Phone",8999,Xiaomi
"Redmi 9A Sport 32 GB 3 GB RAM, Coral Green, Mobile Phone",6999,Xiaomi
"Redmi 12C 64 GB, 4 GB RAM, Mint Green, Mobile Phone",8999,Xiaomi
"Redmi A1 32 GB, 2 GB RAM, Light Blue Mobile Phone",5949,Xiaomi
"Redmi A1 Plus 32 GB, 3 GB RAM, Light Blue Mobile Phone",7499,Xiaomi
"Redmi A1 Plus 32 GB, 2 GB RAM, Light Blue Mobile Phone",6499,Xiaomi
"Redmi 12C 64 GB, 4 GB RAM, Matte Black, Mobile Phone",8999,Xiaomi
"Redmi A1 Plus 32 GB, 2 GB RAM, Black Mobile Phone",6499,Xiaomi
"Redmi 9A 32 GB, 3 GB RAM, Midnight Black, Mobile Phone",7000,Xiaomi
"Redmi 10 64 GB, 4 GB RAM, Midnight Black, Mobile Phone",9999,Xiaomi
"Redmi 9A Sport 32 GB, 2 GB RAM, Metallic Blue, Mobile Phone (Jio Exclusive)",7499,Xiaomi
"Redmi 9A Sport 32 GB, 2 GB RAM, Coral Green, Mobile Phone (Jio Exclusive)",7499,Xiaomi
"Redmi 10 64 GB, 4 GB RAM, Pacific Blue, Mobile Phone",9999,Xiaomi
"Redmi 9A 32 GB, 3 GB RAM, Sea Blue, Smartphone",7000,Xiaomi
"Redmi 9A Sport 32 GB, 2 GB RAM, Carbon Black, Mobile Phone (Jio Exclusive)",7499,Xiaomi
"Redmi 10A 32 GB, 3 GB RAM, Charcoal Black, Mobile Phone",7499,Xiaomi
"Redmi 10A 64 GB, 4 GB RAM, Slate Grey,Mobile Phone",8599,Xiaomi
"Redmi 12C 64 GB, 4 GB RAM, Royal Blue, Mobile Phone",8999,Xiaomi
"Redmi 10A 32 GB, 3 GB RAM, Slate Grey, Mobile Phone",7499,Xiaomi
"Redmi 10A 32 GB, 3 GB RAM, Sea Blue, Mobile Phone",7499,Xiaomi
"Redmi 10 64 GB, 4 GB RAM, Caribbean Green, Mobile Phone",9999,Xiaomi
"Redmi 10A 64 GB, 4 GB RAM, Charcoal Black, Mobile Phone",8599,Xiaomi
"Redmi 10A 64 GB, 4 GB RAM, Sea Blue, Mobile Phone",8599,Xiaomi
"Redmi 9A Sport 32 GB 3 GB RAM, Metallic Blue, Mobile Phone",7800,Xiaomi
"Redmi 9A Sport 32 GB 3 GB RAM, Carbon Black, Mobile Phone",7800,Xiaomi
"Redmi 10A 32 GB, 3 GB RAM, Sea Blue, Mobile Phone",7499,Xiaomi
"Redmi 10A 64 GB, 4 GB RAM, Charcoal Black, Mobile Phone",8599,Xiaomi
"Redmi 10 64 GB, 4 GB RAM, Caribbean Green, Mobile Phone",9999,Xiaomi
"Redmi 10A 64 GB, 4 GB RAM, Sea Blue, Mobile Phone",8599,Xiaomi
"Redmi 9A Sport 32 GB 3 GB RAM, Metallic Blue, Mobile Phone",7800,Xiaomi
"Redmi 9A Sport 32 GB 3 GB RAM, Carbon Black, Mobile Phone",7800,Xiaomi
"Samsung Galaxy M04 64 GB, 4 GB RAM, Sea Glass Green Mobile Phone",9499,Samsung
"Samsung Galaxy M04 64 GB, 4 GB RAM, Shadow Blue, Mobile Phone",9499,Samsung
"Samsung Galaxy A04e 64 GB, 3 GB RAM, Light Blue, Mobile Phone",9999,Samsung
"Samsung F Series F04 64 GB, 4 GB, Opal Green, Mobile Phone",9499,Samsung
"Samsung F Series F04 64 GB, 4 GB, Jade Purple, Mobile Phone",9499,Samsung
"Samsung Galaxy A04e 64 GB, 3 GB RAM, Copper, Mobile Phone",9999,Samsung
"Samsung Galaxy M02s 32 GB, 3 GB RAM, Black, Mobile Phone",9499,Samsung
"Samsung Galaxy A03 32 GB, 3 GB RAM, Red, Mobile Phone",8499,Samsung
"Samsung Galaxy A03 Core 32 GB, 2 GB RAM, Blue, Mobile Phone",6999,Samsung
"Samsung Galaxy A03 Core 32 GB, 2 GB RAM, Black, Mobile Phone",6999,Samsung
"Samsung Galaxy M02s 32 GB, 3 GB RAM, Red, Mobile Phone",9499,Samsung
"Samsung Galaxy A03 32 GB, 3 GB RAM, Black, Mobile Phone",8499,Samsung
"Samsung Galaxy A03 32 GB, 3 GB RAM, Blue, Mobile Phone",8499,Samsung
"Samsung Galaxy M01 Core 16 GB, 1 GB, Red, Mobile Phone",5199,Samsung
"Realme Narzo 50i Prime 32 GB, 3 GB RAM, Dark Blue, Mobile Phone",7999,Realme
"Realme Narzo 50i Prime 64 GB, 4 GB RAM, Dark Blue, Mobile Phone",8999,Realme
"Realme C33 32 GB, 3 GB RAM, Sandy Gold, Mobile Phone",8999,Realme
"Realme C33 32 GB, 3 GB RAM, Night Sea, Mobile Phone",8999,Realme
