Product_title,Product_Price,Product_brand_name
"Vivo Y16 32 GB, 3 GB RAM, Drizzling Gold, Mobile Phone",9999,VIVO
"Vivo Y02 32 GB, 3 GB RAM, Cosmic Grey, Mobile Phone",8999,VIVO
"Vivo Y16 64 GB, 3 GB RAM, Drizzling Gold, Mobile Phone",9999,VIVO
"Vivo Y16 64 GB, 3 GB RAM, Stellar Black, Mobile Phone",9999,VIVO
"Tecno POVA3 64 GB, 4 GB RAM, Eco Black, Mobile Phone with 7000 mAh Mega Battery",8999,Tecno
"Tecno POVA3 64 GB, 4 GB RAM, Electric Blue, Mobile Phone with 7000 mAh Mega Battery",9799,Tecno
"Tecno POP 5 LTE 32 GB RAM, 2 GB RAM, Turquoise Cyan, Mobile Phone",6899,Tecno
"Tecno POVA3 64 GB, 4 GB RAM, Tech Silver, Mobile Phone with 7000 mAh Mega Battery",8999,Tecno
"Tecno Spark 9 128GB, 6GB RAM, Sky Mirror, Mobile Phone",9999,Tecno
"Tecno Spark 9 64GB, 4GB RAM, Sky Mirror, Mobile Phone",8999,Tecno
"Tecno Spark 9 64GB, 4GB RAM, Infinity Black, Mobile Phone",8999,Tecno
"TCL L7 32 GB, 2 GB RAM, Black, Smartphone",4999,TCL
"Poco C series C 51 64 GB, 4 GB RAM, Royal Blue, Mobile Phone",8499,POCO
"Oppo A17K 64 GB, 3 GB RAM, Navy Blue, Mobile Phone",9499,Oppo
"OPPO A15s 64 GB, 4 GB RAM, Dynamic Black, Mobile Phone",9990,Oppo
"OPPO A15s 64 GB, 4 GB RAM, Fancy White, Mobile Phone",9990,Oppo
"Oppo A17K 64 GB, 3 GB RAM, Gold, Mobile Phone",9499,Oppo
"Oppo A12 32 GB, 3 GB RAM, Blue, Mobile Phone",9990,Oppo
"OPPO A16K 32 GB, 3 GB, Black, Mobile Phone",8999,Oppo
"OPPO A16K 32 GB, 3 GB, Midnight Black, Mobile Phone",8999,Oppo
"Motorola Moto G42 64GB, 4GB RAM, Atlantic Green, Mobile Phone",9999,Motorola
"Motorola E32s 32 GB, 3 GB RAM, Misty Silver, Mobile Phone",8999,Motorola
"Motorola E7 Power 64 GB, 4 GB RAM, Oxy Red, Mobile Phone",8999,Motorola
"Motorola E7 Power 64 GB, 4 GB RAM, Digital Blue, Mobile Phone",8999,Motorola
"Moto g22 64 GB, 4 GB RAM, Cosmic Black, Mobile Phone",9999,Motorola
"Moto g22 64 GB, 4 GB RAM, Iceberg Blue, Mobile Phone",9999,Motorola
"Motorola E32s 64 GB, 4 GB RAM, Misty Silver, Mobile Phone",9999,Motorola
"Moto g22 64 GB, 4 GB RAM, Mint Green, Mobile Phone",9999,Motorola
"JioPhone Next 32 GB, 2 GB RAM, Blue Smartphone, LS1542QWN",4499,JIO
